0,1,2,3,4,5,6,7,8,9,10,11,actual,predicted
-0.05364627,-1.0935699,-0.6332512,1.9298538,-0.7488089,1.7631435,-0.8190051,-0.70121896,-0.98585963,1.8027598,0.6020216,-0.9715717,3,3
-1.2487384,0.81000876,-1.1762872,-0.89291555,-0.65414447,1.921259,-0.49037248,0.14988482,0.37714595,0.18719281,-0.009505424,-1.2330014,1,1
-1.3528823,0.9624215,-0.705752,-0.16742297,-0.85082513,-2.9106536,-0.41541973,0.5256046,1.1677709,-0.38855636,-0.3335161,1.1409637,1,1
-0.6255159,0.7236955,-0.5153691,-0.12965398,1.8477492,0.6655153,0.9680351,0.1807688,-2.3462808,0.077887975,1.2593452,0.50793874,4,4
-0.8440418,-0.45529917,-0.08586946,3.0119665,-0.7841116,0.40321898,-0.672609,-0.5699683,-0.7307183,-1.0304499,0.0255672,-1.5151544,3,3
-1.5263197,-0.52030146,1.7784971,-0.31837845,-0.4278578,-1.2610154,1.1247025,0.18258825,0.1773715,0.05130624,-0.43667203,0.19499488,2,2
1.0221634,1.0618469,-0.44341737,2.1813023,-0.91424245,1.4663566,0.8157768,-0.5148578,1.2042673,-0.18636012,-0.37872332,0.45524296,3,3
1.4588892,-1.0615094,-0.1196203,-0.53816044,-0.60892653,1.0082229,-0.6693904,-1.44366,-1.5575604,0.6473693,-1.1765712,1.7481933,0,0
0.18999767,-0.05280603,-0.33633626,-0.76697016,-0.606777,-1.1204845,-0.025734317,0.9308711,-0.99319285,0.54857635,-0.44879895,-0.82633716,0,0
-0.9644835,-0.059498284,0.078580916,-0.89953685,1.8617961,1.1023266,1.1979754,-0.20097554,-0.74501187,0.98641425,1.2138349,-1.202048,4,4
1.5192733,-0.41719183,-0.83020073,-0.38381955,-0.76822656,1.1482406,-0.42891997,0.17340259,0.26129404,-0.19065131,0.63480127,-0.5050152,0,0
-0.9225603,1.73918,-0.30108106,-0.040909138,-0.31105557,0.7457445,0.1212261,1.388293,0.38632113,-0.7741095,1.4270922,0.68015814,1,1
-0.5512771,-0.25872838,-0.8416324,1.6402844,-0.3150122,-0.49889618,-0.8193337,-0.67484397,0.67220086,-0.549275,-0.048516218,-0.009917827,3,3
2.7718656,-0.33278376,-0.62089044,-0.42615178,-0.8090242,-1.0320338,1.2412788,-0.6886183,-1.0536773,0.5801687,1.2159256,0.70143014,0,0
0.25407377,-0.030053377,-0.5722947,-0.59571874,-0.30948922,0.397601,-0.32494715,1.1360025,-1.0874386,0.6569863,0.64101744,-0.3379144,0,0
-0.7101158,-0.007174514,1.3116567,-0.16272156,-0.7719846,0.23760128,-0.8106377,0.5272604,-0.05228777,-1.4849644,0.47376353,-0.6091186,2,2
2.0674596,-0.9505935,-0.24062862,-0.80137926,-0.63345224,1.8816501,-0.15413488,0.18975104,0.8413567,0.54047185,0.21155316,0.34370524,0,0
-0.8184499,-0.33114615,-0.45034984,2.236026,-0.2473004,0.4477981,-0.3263328,0.7165649,-0.109666556,-0.98806953,-0.32562035,0.06031423,3,3
1.6869106,0.67601097,-0.47077742,-0.702757,-0.52644444,1.3372564,-0.6108297,-0.8315739,-0.4959682,-0.863482,0.18463312,1.6167055,0,0
-0.82475954,-0.9337687,-0.38021407,1.3989983,-0.5519322,0.19644056,-0.2336504,-1.5792737,1.5571777,0.16052173,1.4540447,-0.28788218,3,3
